Player Name,Playing Span,Matches Played,Innings Batted,Not Outs,Runs Scored,Highest Inning Score,Batting Average,Balls Faced,Batting Strike Rate,Hundreds Scored,Fifties Scored,Zeroes Scored,Boundary Fours,Boundary Sixes
K Bhurtel (NEP),2024-2024,11,11,1,253,66,25.3,319,79.31,0,2,1,29,5
TM Head (AUS),2024-2024,5,5,1,252,154*,63,210,120,1,0,0,33,11
PD Salt (ENG),2024-2024,8,8,0,247,74,30.87,296,83.44,0,2,1,28,4
B Sharki (NEP),2024-2024,10,9,1,244,101*,30.5,376,64.89,1,0,1,25,2
T Stubbs (SA),2024-2024,7,7,2,243,112*,48.6,267,91.01,1,1,1,13,8
C Tear (SCOT),2024-2024,10,9,3,237,54*,39.5,347,68.29,0,2,1,18,5
Tanzid Hasan (BAN),2024-2024,7,7,0,234,84,33.42,230,101.73,0,2,1,25,10
Basil Hameed (UAE),2024-2024,11,11,1,234,71,23.4,304,76.97,0,2,1,16,11
HT Tector (IRE),2024-2024,5,5,0,233,138,46.6,246,94.71,1,1,0,18,4
Sediqullah Atal (AFG),2024-2024,6,5,0,230,104,46,277,83.03,1,1,0,20,6
Aqib Ilyas (OMA),2024-2024,7,7,0,230,68,32.85,390,58.97,0,2,1,20,5
Babar Azam (PAK),2024-2024,6,6,2,228,73,57,298,76.51,0,2,0,25,1
JP Inglis (AUS),2024-2024,8,8,2,219,65,36.5,191,114.65,0,1,0,24,7
Aarif Sheikh (NEP),2024-2024,9,7,1,214,51*,35.66,321,66.66,0,1,0,16,3
Salman Agha (PAK),2024-2024,9,6,1,209,82*,41.8,219,95.43,0,1,0,14,6
BFW de Leede (NED),2024-2024,8,7,1,207,66,34.5,317,65.29,0,2,1,16,5
JN Loftie-Eaton (NAM),2024-2024,8,7,0,205,54,29.28,233,87.98,0,1,1,19,8
Muhammad Waseem (UAE),2024-2024,11,11,0,201,49,18.27,305,65.9,0,0,1,18,6
NRJ Croes (NED),2024-2024,12,10,1,200,46*,22.22,294,68.02,0,0,0,14,1
Abdullah Shafique (PAK),2024-2024,9,9,2,196,64*,28,276,71.01,0,2,3,15,5
M Levitt (NED),2024-2024,9,9,0,196,57,21.77,244,80.32,0,1,3,25,8
Kamran Ghulam (PAK),2024-2024,9,6,0,192,103,32,180,106.66,1,1,1,18,9
WG Jacks (ENG),2024-2024,8,8,0,192,84,24,205,93.65,0,2,2,19,3
Ali Naseer (UAE),2024-2024,8,8,1,192,61,27.42,189,101.58,0,1,1,17,10
C Green (AUS),2024-2024,5,4,1,184,77*,61.33,226,81.41,0,1,0,18,3
MW Short (AUS),2024-2024,9,7,0,184,58,26.28,182,101.09,0,1,0,18,7
Jatinder Singh (OMA),2024-2024,7,7,0,183,59,26.14,292,62.67,0,2,0,14,1
